,incident_id,date,state,city_or_county,address,latitude,longitude,zip,congressional_district,n_killed,n_injured,killed_and_injured,n_guns_involved,handgun,shotgun,assault_rifle,stolen,not_stolen,male,female,participant_count,participant_avg_age,Gun Freedom Score,Mean income (dollars),democrat,PVI #,extreme_left,extreme_right
31,481220,3/5/2013,Indiana,Indianapolis,1800 block of Edinburge Square,39.7927,-86.0328,49617,7.0,1,3,4,,0,0,0,0,0,1,0,4,20.5,6.8,49378,1,11,0,0
32,481229,3/7/2013,Mississippi,Jackson,2900 block of Greenwood Avenue,32.2649,-90.2141,63104,2.0,2,2,4,1.0,1,0,0,0,0,1,1,5,27.2,7.4,73243,1,14,0,0
33,481237,3/10/2013,Missouri,Kansas City,9331 Hillcrest Rd,38.955,-94.5211,75946,5.0,0,5,5,1.0,0,0,0,0,0,1,1,5,18.4,7.4,43955,1,7,0,0
34,482771,3/11/2013,District of Columbia,Washington,1200 North Capitol Street,38.9062,-77.0099,20901,1.0,0,13,13,4.0,1,0,0,0,0,1,1,4,19.0,2.0,115562,1,43,1,0
35,482801,3/13/2013,California,Oceanside,504 Calle Montecito,33.2498,-117.309,99212,49.0,2,2,4,,0,0,0,0,0,1,0,6,18.3,3.85,65599,0,1,0,0
36,482856,3/13/2013,New York,Mohawk,17 W Main St,43.011,-75.0058,13690,22.0,6,2,8,1.0,0,1,0,0,0,1,0,8,54.6,4.6,59221,0,6,0,0
37,482838,3/14/2013,California,Modesto,1400 block of Western Way,37.626,-121.01100000000001,93930,10.0,0,4,4,,0,0,0,0,0,1,1,1,0.0,3.85,62741,0,0,0,0
38,482926,3/16/2013,California,Galt,Dover Drive,38.2436,-121.31200000000001,95648,9.0,0,7,7,,0,0,0,0,0,0,0,1,0.0,3.85,91621,1,8,0,0
39,482934,3/17/2013,California,Stockton,1800 block of East Sonora Street,37.9531,-121.266,98602,9.0,2,3,5,,0,0,0,0,0,1,1,2,28.5,3.85,N,1,8,0,0
40,482942,3/17/2013,Florida,Belle Glade,Northwest 16th Street and Northwest Avenue L,26.6968,-80.6837,43968,20.0,0,5,5,,0,0,0,0,0,0,0,1,0.0,6.45,47189,1,31,0,0
41,483737,3/21/2013,Illinois,Chicago,West 87th Street and Ashland Avenue,41.7358,-87.6631,60660,1.0,0,7,7,,0,0,0,0,0,1,1,7,23.7,4.2,70000,1,27,0,0
42,483765,3/21/2013,Missouri,Kansas City,4900 block of Brookside Blvd,39.0383,-94.5849,64131,5.0,1,3,4,1.0,1,0,0,0,0,1,1,3,21.3,7.4,59695,1,7,0,0
43,483788,3/22/2013,New York,Brooklyn,2703 W. 33rd Street,40.5803,-74.0005,10011,8.0,1,3,4,,0,0,0,0,0,1,1,4,38.8,4.6,202417,1,36,1,0
44,483835,3/30/2013,California,Merced (county),9200 block of Westside Boulevard,37.3603,-120.654,95301,16.0,3,2,5,,0,0,0,0,0,1,1,7,18.4,3.85,65615,1,9,0,0
45,483817,3/31/2013,Washington,Auburn,2802 Auburn Way North,47.3149,-122.22399999999999,94589,8.0,3,2,5,,0,0,0,0,0,1,0,4,24.5,6.65,66730,0,0,0,0
46,483861,4/6/2013,South Carolina,Greenwood,Tabor Street,34.1868,-82.1638,41553,3.0,1,4,5,,0,0,0,0,0,1,0,2,16.0,6.3,51775,0,19,0,0
47,483872,4/7/2013,New York,New York (Manhattan),900 Garden Way,40.9018,-73.8511,11368,16.0,1,3,4,,0,0,0,0,0,1,1,5,26.6,4.6,58782,1,24,0,0
48,483878,4/7/2013,California,Long Beach,300 block of East Home Street,33.8479,-118.19,89419,47.0,1,3,4,,0,0,0,0,0,1,0,1,23.0,3.85,52771,1,13,0,0
49,484268,4/9/2013,Pennsylvania,Philadelphia,Somerset Street and Lee Street,39.9924,-75.13,18469,1.0,1,3,4,,0,0,0,0,0,1,1,4,23.5,7.4,69205,1,31,0,0
50,484279,4/10/2013,California,Vallejo,1800 block of Mini Drive,38.1519,-122.26100000000001,98204,5.0,0,4,4,,0,0,0,0,0,1,1,1,0.0,3.85,59438,1,21,0,0
51,484307,4/14/2013,Arizona,Phoenix,12400 North 25th Avenue,33.5985,-112.113,85041,6.0,2,4,6,,0,0,0,0,0,1,0,7,18.3,9.33,61008,0,9,0,0
52,484287,4/14/2013,Kentucky,Lexington,750 East New Circle Rd,38.0485,-84.45299999999999,49271,6.0,1,4,5,,0,0,0,0,0,1,0,5,22.2,7.4,48367,0,9,0,0
53,484317,4/18/2013,Ohio,Akron,Kimlyn Circle,41.1102,-81.4771,44143,13.0,4,0,4,1.0,1,0,0,0,0,1,1,5,21.4,7.4,86971,1,7,0,0
54,484333,4/21/2013,Washington,Federal Way,33300 block of 18th Lane South,47.303000000000004,-122.31,98195,9.0,5,0,5,2.0,1,1,0,0,1,1,1,5,36.8,6.65,-,1,21,0,0
55,484351,4/22/2013,Illinois,Chicago (Englewood),5700 block of South Lowe Avenue,41.7906,-87.6418,47720,7.0,0,4,4,,0,0,0,0,0,1,0,4,28.8,4.2,79301,1,38,1,0
56,485746,4/22/2013,Louisiana,Harvey,2300 block of Lapalco Boulevard,29.8736,-90.0568,63855,2.0,0,5,5,3.0,1,0,0,0,0,1,1,9,23.8,6.9,70805,1,25,0,0
57,485811,4/24/2013,Illinois,Manchester,East Street,39.5417,-90.3301,54641,18.0,6,1,7,2.0,0,0,0,0,0,1,1,5,24.2,4.2,-,0,15,0,0
58,489185,4/25/2013,Ohio,Oberlin,500 block of West College Street,41.2927,-82.2347,32083,4.0,0,4,4,1.0,1,0,0,0,0,1,0,4,22.0,7.4,45425,0,14,0,0
59,485821,4/27/2013,Florida,Williston,County Road 318,29.4035,-82.3647,41564,3.0,1,3,4,,0,0,0,0,0,1,1,2,27.5,6.45,85934,0,9,0,0
60,485874,4/28/2013,North Carolina,Charlotte,William Reynolds Drive,35.2479,-80.726,32955,12.0,0,5,5,,0,0,0,0,0,1,0,1,0.0,6.9,73076,1,18,0,0
61,485885,4/28/2013,Pennsylvania,Chester,Rose and Upland Street,39.8564,-75.3587,18455,1.0,1,3,4,2.0,0,0,0,0,0,1,0,4,22.8,7.4,69879,1,31,0,0
62,485979,4/28/2013,Tennessee,Jackson,438 East Main Street,35.6141,-88.815,62922,8.0,2,2,4,2.0,1,0,0,0,0,1,0,6,29.0,8.13,57691,0,19,0,0
63,486005,5/2/2013,New Jersey,Newark,804 S. 16th St,40.7268,-74.2116,12439,10.0,0,5,5,,0,0,0,0,0,1,1,5,30.2,4.1,46609,1,36,1,0
64,486027,5/4/2013,North Carolina,Smithfield,150 South Equity Drive,35.5076,-78.3221,16617,7.0,0,4,4,1.0,0,0,0,0,0,1,1,1,29.0,6.9,55327,0,9,0,0
65,486056,5/5/2013,California,Palo Alto,Bay Road and University Avenue,37.4717,-122.14,94619,14.0,0,5,5,,0,0,0,0,0,1,1,1,0.0,3.85,104047,1,27,0,0
66,486068,5/6/2013,Pennsylvania,Johnstown,Horner and Messenger streets,40.3091,-78.9124,29569,12.0,0,4,4,,0,0,0,0,0,1,0,1,0.0,7.4,52871,0,11,0,0
67,486109,5/10/2013,California,Los Angeles,1600 block of West 205th Street,33.8447,-118.307,90005,43.0,3,1,4,,0,0,0,0,0,1,0,1,0.0,3.85,49052,1,29,0,0
68,486142,5/11/2013,Indiana,Columbus,E Main Cross St,39.1149,-85.8929,36340,6.0,5,0,5,1.0,0,0,0,0,0,1,1,5,45.8,6.8,51352,0,18,0,0
69,486121,5/11/2013,Pennsylvania,Philadelphia,21st Street and Medary Avenue,40.0505,-75.1554,21813,2.0,0,4,4,,0,0,0,0,0,1,0,4,17.0,7.4,86620,1,40,1,0
70,486244,5/11/2013,New Jersey,Jersey City,Fremont Street,40.7207,-74.0593,08742,10.0,0,4,4,1.0,0,0,0,0,0,1,0,1,0.0,4.1,109348,1,36,1,0
71,486153,5/12/2013,Arizona,Apache Junction,3600 block of East Apache Trail,33.4473,-111.50299999999999,85633,4.0,0,5,5,,0,0,0,0,0,1,1,1,47.0,9.33,103200,0,21,0,1
72,486209,5/12/2013,Louisiana,New Orleans,Frenchmen Street,29.9861,-90.0595,62223,2.0,0,19,19,1.0,0,0,0,0,0,1,1,4,15.5,6.9,75411,1,25,0,0
73,486316,5/13/2013,Ohio,Cincinnati,Kings Run Road,39.1788,-84.5124,49246,1.0,0,4,4,1.0,0,0,0,0,0,1,0,1,0.0,7.4,80801,0,5,0,0
74,486327,5/15/2013,Michigan,Detroit,9000 block of Carlin,42.3613,-83.1787,48098,13.0,1,4,5,,0,0,0,0,0,1,1,6,35.5,6.3,149864,1,33,0,0
75,486334,5/16/2013,Pennsylvania,Philadelphia,2600 block of Daggett Street,39.9204,-75.2296,19153,1.0,0,4,4,1.0,1,0,0,0,0,1,1,3,29.3,7.4,56575,1,31,0,0
76,486611,5/18/2013,Virginia,Victoria,2073 Pleasant Oak Rd,37.0177,-78.1562,22730,5.0,0,4,4,1.0,0,0,0,0,0,1,0,1,22.0,6.9,N,0,6,0,0
77,486586,5/19/2013,Tennessee,Memphis,2281 Ketchum Rd,35.079,-89.988,72329,9.0,2,2,4,,0,0,0,0,0,1,1,3,20.0,8.13,60695,1,28,0,0
78,486605,5/19/2013,Michigan,Detroit,,42.3481,-83.0613,48233,13.0,0,4,4,1.0,0,0,0,0,0,1,0,4,24.3,6.3,-,1,33,0,0
79,486617,5/20/2013,Illinois,Chicago,5200 block of West Iowa Street,41.8968,-87.7556,62454,7.0,0,4,4,,0,0,0,0,0,1,1,4,17.0,4.2,74430,1,38,1,0
80,486623,5/23/2013,Tennessee,Bean Station,1034 Main Street,36.3474,-83.2849,41408,2.0,2,2,4,1.0,0,0,0,0,0,1,1,3,51.3,8.13,51484,0,20,0,1
81,486971,5/24/2013,California,Bakersfield,3700 block of Columbus Street,35.3998,-118.95200000000001,99124,23.0,2,2,4,,0,0,0,0,0,1,0,3,19.3,3.85,56589,0,14,0,0
82,486977,5/25/2013,Michigan,Flint,1100 block of Paterson,43.034,-83.7182,48765,5.0,1,3,4,1.0,0,0,0,0,0,1,1,1,20.0,6.3,38136,1,5,0,0
83,486998,5/25/2013,Virginia,Hampton,1900 block of Coliseum Drive,37.0377,-76.3859,20680,3.0,1,4,5,,0,0,0,0,0,1,0,7,16.1,6.9,95361,1,16,0,0
84,487052,5/28/2013,Tennessee,Memphis,2850 Brewer Avenue,35.0848,-89.9678,38108,9.0,1,3,4,,0,0,0,0,0,1,1,4,18.5,8.13,29352,1,28,0,0
85,487082,5/29/2013,Illinois,Chicago,,41.8859,-87.6251,36738,7.0,0,4,4,,0,0,0,0,0,1,1,4,17.0,4.2,41562,1,38,1,0
86,487088,5/31/2013,Georgia,Atlanta,1000 block of Fair Street,33.749,-84.4211,45226,5.0,0,4,4,,0,0,0,0,0,1,1,1,0.0,7.05,104230,1,34,1,0
87,487261,6/1/2013,Wisconsin,Milwaukee,4126 N Teutonia Ave,43.092,-87.94,60031,4.0,0,4,4,,0,0,0,0,0,0,0,1,0.0,7.4,105972,1,25,0,0
88,489314,6/1/2013,California,Vallejo,1st block of Linfield Drive,38.1472,-122.24,98039,5.0,2,2,4,,0,0,0,0,0,1,0,1,0.0,3.85,262596,1,21,0,0
89,487266,6/2/2013,Indiana,Indianapolis,1913 East 46th Street,39.8401,-86.1289,32435,7.0,0,4,4,,0,0,0,0,0,0,0,1,0.0,6.8,61785,1,11,0,0
90,487271,6/2/2013,Virginia,Virginia Beach,4000 block of Roebling Lane,36.8459,-76.1171,17948,2.0,0,7,7,,0,0,0,0,0,1,0,1,0.0,6.9,56430,0,3,0,0
91,487435,6/2/2013,Georgia,Lagrange,Union Street,33.0354,-85.0244,36867,3.0,0,7,7,,0,0,0,0,0,1,1,1,0.0,7.05,55807,0,18,0,0
92,489581,6/7/2013,California,Santa Monica,2036 Yorkshire Ave,34.025999999999996,-118.461,91411,33.0,6,1,7,2.0,1,0,1,0,1,1,1,7,45.0,3.85,71440,1,16,0,0
93,487645,6/9/2013,Pennsylvania,York,600 block of West Princess Street,39.955,-76.7412,20715,4.0,0,4,4,,0,0,0,0,0,1,1,1,0.0,7.4,121179,0,11,0,0
94,487659,6/10/2013,Missouri,Saint Louis,4700 block of Highland Ave,38.6647,-90.2506,63111,1.0,0,6,6,1.0,0,0,0,0,0,1,1,7,19.4,7.4,47240,1,29,0,0
95,487670,6/10/2013,Illinois,Chicago,5700 block of South Sangamon Street,41.7904,-87.649,36436,7.0,1,4,5,1.0,0,0,0,0,0,1,1,5,18.4,4.2,66473,1,38,1,0
96,487715,6/14/2013,North Carolina,High Point,2201 Little Avenue,35.9689,-79.9787,27370,12.0,0,5,5,,0,0,0,0,0,1,0,6,28.5,6.9,61654,1,18,0,0
97,488992,6/15/2013,Rhode Island,Providence,256 Hartford Ave,41.8173,-71.4516,02909,2.0,1,3,4,1.0,0,0,0,0,0,1,1,9,23.6,4.6,50275,1,6,0,0
98,487833,6/15/2013,Tennessee,Nashville,135 Brinkhaven Ave,36.1646,-86.7771,37201,5.0,0,4,4,1.0,0,0,0,0,0,1,1,5,23.2,8.13,69174,1,7,0,0
99,487891,6/15/2013,Texas,Houston,9780 Bissonnet,29.6754,-95.5499,74463,9.0,1,3,4,,0,0,0,0,0,1,1,4,30.5,6.8,37086,1,29,0,0
100,488134,6/16/2013,Illinois,Chicago,900block of East 79th Street,41.7513,-87.6027,60912,1.0,1,3,4,,0,0,0,0,0,1,0,4,37.5,4.2,55565,1,27,0,0
101,488426,6/21/2013,Illinois,Chicago,2900 block of North Kilpatrick Avenue,41.9335,-87.7445,60964,4.0,1,3,4,,0,0,0,0,0,1,1,5,23.2,4.2,67840,1,33,0,0
102,488505,6/21/2013,Virginia,Norfolk,1225 Tidewater Drive,36.8571,-76.2735,18622,3.0,0,6,6,,0,0,0,0,0,1,0,6,20.3,6.9,28010,1,16,0,0
103,488547,6/21/2013,North Carolina,Greenville,205 Greenville Blvd SW,35.5744,-77.3873,17320,1.0,0,5,5,1.0,0,0,0,0,0,1,0,5,55.2,6.9,87025,1,17,0,0
104,488833,6/22/2013,Maryland,Baltimore,700 block of N. Kenwood Avenue,39.2991,-76.5783,17731,7.0,1,4,5,,0,0,0,0,0,1,1,1,18.0,5.1,95310,1,26,0,0
105,488970,6/22/2013,Rhode Island,Providence,55 Curtis,41.8217,-71.4496,02865,2.0,0,4,4,,0,0,0,0,0,1,0,2,32.5,4.6,107979,1,6,0,0
106,489061,6/23/2013,Tennessee,Chattanooga,1501 Dodds Ave,35.0221,-85.2697,36376,3.0,1,4,5,,0,0,0,0,0,1,0,3,23.3,8.13,51584,0,18,0,0
107,489096,6/23/2013,California,Sacramento,Sea Drift Way,38.4655,-121.459,95673,6.0,1,3,4,,0,0,0,0,0,1,1,5,17.6,3.85,59973,1,21,0,0
108,489105,6/23/2013,Missouri,Kansas City,1917 Prospect Ave,39.0891,-94.5518,75691,5.0,1,8,9,,0,0,0,0,0,1,1,2,20.0,7.4,58231,1,7,0,0
109,489121,6/23/2013,Louisiana,New Orleans,5700 block of Wickfield Drive,30.0165,-90.0689,62095,2.0,0,4,4,1.0,1,0,0,0,0,1,1,4,18.5,6.9,56372,1,25,0,0
110,489129,6/23/2013,Virginia,Virginia Beach,4600 block of Columbus Street,36.841,-76.1371,19551,2.0,1,4,5,,0,0,0,0,0,1,0,1,25.0,6.9,79614,0,3,0,0
111,489934,6/24/2013,Missouri,Kansas City,1711 Kansas Avenue,39.0914,-94.5484,64489,5.0,1,3,4,,0,0,0,0,0,1,1,1,27.0,7.4,54950,1,7,0,0
112,489987,6/25/2013,Illinois,Chicago,73rd Street and King Drive,41.7621,-87.6152,60628,1.0,1,4,5,,0,0,0,0,0,1,1,5,19.2,4.2,51239,1,27,0,0
113,490048,6/27/2013,California,Three Rivers,39553-39833 Sierra Dr,36.4144,-118.925,99116,23.0,2,2,4,1.0,0,0,0,0,0,1,1,6,23.8,3.85,66758,0,14,0,0
114,490115,6/28/2013,Illinois,Chicago,4800 block of North Sheridan Road,41.9691,-87.6548,42254,9.0,0,6,6,,0,0,0,0,0,1,1,6,26.0,4.2,63587,1,18,0,0
115,490150,6/29/2013,South Carolina,North Charleston,4400 Dorchester Road; Suite 115,32.8549,-80.0122,27235,6.0,3,1,4,,0,0,0,0,0,1,0,5,38.2,6.3,99640,1,19,0,0
116,490226,6/30/2013,New York,Brooklyn,616 E. 52nd Street,40.6452,-73.928,11221,9.0,0,9,9,,0,0,0,0,0,1,1,1,0.0,4.6,68717,1,34,1,0
117,490166,6/30/2013,Colorado,Aurora,2300 block of Paris St,39.7512,-104.848,80132,6.0,0,4,4,,0,0,0,0,0,0,0,1,0.0,7.65,124922,0,2,0,0
118,490245,7/1/2013,Texas,Fort Worth,2900 block of Pate Drive,32.7157,-97.2597,67482,33.0,4,0,4,,0,0,0,0,0,1,1,5,18.6,6.8,62118,1,23,0,0
119,490335,7/4/2013,Illinois,Chicago,6000 block of South Cottage Grove Avenue,41.7858,-87.6061,60653,1.0,0,4,4,,0,0,0,0,0,1,1,4,35.0,4.2,59475,1,27,0,0
