zip,Mean income (dollars)
02360,100405
02364,103991
02366,-
02367,92019
02368,81375
02370,85930
02375,108216
02379,94340
02382,90613
02420,198885
02421,199598
02445,154696
02446,135595
02451,107843
02452,102994
02453,95462
02457,-
02458,166202
02459,220086
02460,169408
02461,189997
02462,194092
02464,123485
02465,207270
02466,154977
02467,175595
02468,228824
02472,109875
02474,127877
02476,133475
02478,158098
02481,298188
02482,210172
02492,208769
02493,296072
02494,166973
02532,87639
02534,88531
02535,96312
02536,83869
02537,112994
02538,61876
02539,105829
02540,101510
02542,54970
02543,110972
02553,N
02554,102428
02556,109951
02557,92455
02558,73373
02559,91219
02561,62531
02562,97650
02563,95002
02564,61029
02568,82574
02571,71987
02575,88473
02576,88996
02584,N
02601,58311
02630,115459
02631,92979
02632,82015
02633,99712
02635,100391
02637,158395
02638,82779
02639,64316
02641,95493
02642,63715
02643,N
02644,97634
02645,98525
02646,89993
02647,80629
02648,83757
02649,88772
02650,62863
02651,-
02652,71292
02653,72028
02655,120323
02657,66149
02659,91236
02660,62847
02663,N
02664,67143
02666,54963
02667,64033
02668,110730
02669,83909
02670,94592
02671,65050
02672,133843
02673,75357
02675,83345
02702,109778
02703,87432
02713,86293
02715,108091
02717,99618
02718,101089
02719,80884
02720,61335
02721,52511
02723,49886
02724,54870
02725,74607
02726,84438
02738,136388
02739,116505
02740,54864
02743,85470
02744,56478
02745,64396
02746,43964
02747,87726
02748,108752
02760,106867
02762,105355
02763,116459
02764,101271
02766,105768
02767,99778
02769,115176
02770,119939
02771,97397
02777,87182
02779,105302
02780,71406
02790,96211
02791,49707
02802,85729
02804,78957
02806,158226
02807,89369
02808,80162
02809,82222
02812,132106
02813,86111
02814,94335
02815,179728
02816,81406
02817,89393
02818,136180
02822,100260
02825,101048
02826,78863
02827,100063
02828,97385
02830,88835
02831,114185
02832,84684
02833,76389
02835,128419
02836,94782
02837,91920
02838,62992
02839,77136
02840,79740
02841,-
02842,81473
02852,98107
02857,95913
02858,128715
02859,81350
02860,57051
02861,64795
02863,41691
02864,99498
02865,107979
02871,117365
02872,90068
02873,105939
02874,149251
02875,104383
02876,50580
02878,86040
02879,92108
02881,83385
02882,95137
02885,74188
02886,88640
02888,76280
02889,76089
02891,80387
02892,99973
02893,64499
02894,73946
02895,59175
02896,102766
02898,73074
02903,82561
02904,66144
02905,62241
02906,115325
02907,48681
02908,60806
02909,50275
02910,70051
02911,70282
02912,-
02914,60160
02915,72973
02916,87407
02917,96149
02919,80449
02920,75451
02921,120419
03031,140045
03032,113628
03033,128396
03034,109280
03036,128459
03037,96219
03038,81797
03042,93081
03043,96490
03044,110740
03045,102185
03046,108152
03047,75256
03048,82497
03049,142619
03051,108843
03052,104280
03053,112181
03054,109122
03055,84680
03057,115901
03060,64619
03062,103682
03063,92775
03064,77727
03070,123359
03071,102530
03076,113786
03077,75407
03079,104740
03082,104065
03084,92193
03086,84664
03087,141403
03101,68260
03102,64950
03103,62464
03104,80695
03106,92786
03109,91496
03110,162287
03215,126859
03216,77585
03217,50245
03218,98343
03220,70188
03221,70794
03222,63221
03223,69171
03224,87639
03225,77081
03226,85358
03227,64627
03229,109713
03230,62646
03231,78126
03233,144635
03234,86343
03235,58164
03237,73400
03238,26431
03240,67930
03241,75345
03242,76226
03243,71458
03244,80074
03245,80361
03246,71962
03249,99963
03251,50821
03253,77949
03254,85491
03255,98045
03256,79105
03257,90050
03258,91023
03259,60151
03260,101070
03261,86077
03262,66848
03263,66348
03264,65166
03266,67116
03268,98037
03269,82909
03273,70446
03275,80887
03276,66786
03278,78918
03279,57615
03280,94132
03281,107330
03282,80358
03284,76446
03285,64818
03287,88828
03290,101788
03291,N
03293,40560
03301,78424
03303,75536
03304,114106
03307,81659
03431,72482
03440,70156
03441,78924
03442,68523
03443,72819
03444,80077
03445,75987
03446,75631
03447,76856
03448,66377
03449,94877
03450,72321
03451,59715
03452,67118
03455,63420
03456,73884
03457,71261
03458,91243
03461,75652
03462,109807
